File,% covered,Lines,Relevant Lines,Lines covered,Lines missed
"./app/channels/application_cable/channel.rb",0,6,4,0,4
"./app/channels/application_cable/connection.rb",0,6,4,0,4
"./app/controllers/api/bank_accounts_controller.rb",96,52,24,23,1
"./app/controllers/api/bank_invoices_controller.rb",97,58,31,30,1
"./app/controllers/api/categories_controller.rb",90,40,20,18,2
"./app/controllers/api/customers_controller.rb",91,74,35,32,3
"./app/controllers/api/people_controller.rb",88,16,8,7,1
"./app/controllers/api/providers_controller.rb",91,73,35,32,3
"./app/controllers/application_controller.rb",100,4,1,1,0
"./app/jobs/application_job.rb",0,9,2,0,2
"./app/mailers/application_mailer.rb",0,6,4,0,4
"./app/models/address.rb",100,5,2,2,0
"./app/models/application_record.rb",100,5,2,2,0
"./app/models/bank_account.rb",100,5,2,2,0
"./app/models/bank_invoice.rb",100,7,4,4,0
"./app/models/category.rb",100,4,1,1,0
"./app/models/customer.rb",100,5,2,2,0
"./app/models/person.rb",100,8,5,5,0
"./app/models/provider.rb",100,5,2,2,0
"./app/models/role.rb",0,5,3,0,3
"./app/serializers/bank_account_serializer.rb",100,5,2,2,0
"./app/serializers/bank_invoice_serializer.rb",100,14,6,6,0
"./app/serializers/category_serializer.rb",100,3,2,2,0
"./app/serializers/customer_serializer.rb",100,5,2,2,0
"./app/serializers/person_serializer.rb",100,5,2,2,0
"./app/serializers/provider_serializer.rb",100,5,2,2,0
"./app/services/bank_account_service.rb",79,51,28,22,6
"./app/services/bank_invoice_service.rb",83,132,75,62,13
"./app/services/category_service.rb",89,34,19,17,2
"./app/services/customer_service.rb",91,79,45,41,4
"./app/services/provider_service.rb",89,80,45,40,5
